Capability,Competency,Type,Name,Description,,
UX Design,Visual Design,Skill,Typography,"The art and technique of arranging type to make written language legible, readable, and appealing when displayed.",,
UX Design,Visual Design,Skill,Color theory,"The skill of using color to create aesthetic appeal, convey meaning, and guide the user's attention in a user interface.",,
UX Design,Visual Design,Skill,Layout design and composition,"The skill of arranging visual elements on a page to create a balanced, hierarchical, and easy-to-understand layout.",,
UX Design,Visual Design,Skill,Design systems,"The ability to create and maintain a collection of reusable components, guided by clear standards, that can be assembled together to build any number of applications.",,
UX Design,Visual Design,Skill,Iconography,"The skill of designing clear, consistent, and easily recognizable icons that communicate concepts and actions.",,
UX Design,Visual Design,Skill,Visual hierarchy,The technique of arranging elements to show their order of importance and guide the user's eye through the interface.,,
UX Design,Visual Design,Skill,Motion design,"The skill of using animation and transitions to enhance user experience, provide feedback, and guide attention.",,
UX Design,Visual Design,Skill,Data visualization,"The skill of representing data and information graphically to make complex data more accessible, understandable, and usable.",,
UX Design,Visual Design,Behavior,Aesthetic sense,A strong intuition for what is visually pleasing and the ability to create interfaces that are not only functional but also beautiful.,,
UX Design,Visual Design,Behavior,Consistency,The practice of maintaining a uniform look and feel across all elements of a user interface to create a cohesive experience.,,
UX Design,Visual Design,Behavior,Attention to detail,"A meticulous focus on the small details of a design, such as alignment, spacing, and typography, to achieve a high level of polish.",,
UX Design,Visual Design,Behavior,Craftsmanship,"A deep care for the quality and execution of the final design, striving for excellence in every detail.",,
UX Design,Information Architecture,Skill,Card sorting,"A research method used to understand how users group information, which helps in designing the structure of a site or app.",,
UX Design,Information Architecture,Skill,Site mapping,The process of creating a diagram that shows the hierarchical structure and relationships between pages on a website.,,
UX Design,Information Architecture,Skill,Navigation design,"The skill of designing clear and intuitive menus, links, and other navigational elements that help users find information easily.",,
UX Design,Information Architecture,Skill,Content hierarchy,The practice of organizing content in a way that clearly communicates the level of importance of each element.,,
UX Design,Information Architecture,Skill,Taxonomy development,The skill of creating a classification system with controlled vocabulary to organize and label content in a consistent way.,,
UX Design,Information Architecture,Skill,Content modeling,The process of defining the structure and relationships of different content types within a system.,,
UX Design,Information Architecture,Behavior,Systems thinking,The ability to understand and design the structure of a complex system of information as a cohesive whole.,,
UX Design,Information Architecture,Behavior,Organization,A natural inclination for structuring and arranging information in a logical and understandable way.,,
UX Design,Information Architecture,Behavior,Clarity focus,A commitment to making information structures and navigation as clear and unambiguous as possible for the user.,,
UX Design,Information Architecture,Behavior,Logical reasoning,The ability to use logic to structure information and design navigational pathways that make sense to users.,,
UX Design,Accessibility (A11y),Skill,WCAG Compliance,Knowledge of the Web Content Accessibility Guidelines (WCAG) and the ability to design interfaces that meet these standards.,,
UX Design,Accessibility (A11y),Skill,Screen Reader Testing,The skill of testing a website or application using a screen reader to ensure it is usable by visually impaired users.,,
UX Design,Accessibility (A11y),Skill,Semantic HTML,The practice of using HTML elements according to their intended purpose to create a meaningful structure for assistive technologies.,,
UX Design,Accessibility (A11y),Skill,Color Contrast Checking,The ability to use tools to ensure that the color contrast between text and its background is sufficient for people with visual impairments.,,
UX Design,Accessibility (A11y),Skill,ARIA Implementation,The skill of using Accessible Rich Internet Applications (ARIA) attributes to make web content and applications more accessible to people with disabilities.,,
UX Design,Accessibility (A11y),Skill,Keyboard navigation testing,The process of testing a website to ensure that all interactive elements can be accessed and operated using only a keyboard.,,
UX Design,Accessibility (A11y),Behavior,Inclusivity mindset,A fundamental belief in designing products that are usable and accessible to people of all abilities and backgrounds.,,
UX Design,Accessibility (A11y),Behavior,Advocacy for all users,The practice of actively promoting and defending the needs of users with disabilities throughout the design and development process.,,
UX Design,Accessibility (A11y),Behavior,Empathy for diverse needs,"The ability to understand and design for the wide range of physical, cognitive, and sensory abilities that users may have.",,
Aviation,Flight Operations,Skill,Piloting aircraft,"The practical skill of controlling and navigating an aircraft during flight, takeoff, and landing.",,
Aviation,Flight Operations,Skill,Navigation (GPS, VOR, NDB),"The ability to use various navigational aids, including GPS, VOR, and NDB, to determine an aircraft's position and plan a course."
Aviation,Flight Operations,Skill,Flight planning,"The process of preparing for a flight, including checking weather, calculating fuel needs, and filing a flight plan.",,
Aviation,Flight Operations,Skill,Crew resource management (CRM),"The effective use of all available resources—people, equipment, and information—to achieve safe and efficient flight operations.",,
Aviation,Flight Operations,Skill,Instrument Flight Rules (IFR) procedures,"The ability to fly an aircraft solely by reference to instruments, especially in weather conditions with low visibility.",,
Aviation,Flight Operations,Skill,Emergency procedures execution,The knowledge and ability to correctly perform established procedures in response to in-flight emergencies.,,
Aviation,Flight Operations,Skill,Takeoff and landing in various conditions,"The skill of performing takeoffs and landings safely in challenging conditions, such as crosswinds or on short runways.",,
Aviation,Flight Operations,Skill,Aerodynamics knowledge,"A thorough understanding of the principles of lift, drag, thrust, and weight that govern how an aircraft flies.",,
Aviation,Flight Operations,Behavior,Situational awareness,"The continuous perception of environmental elements and events with respect to time or space, and the comprehension of their meaning.",,
Aviation,Flight Operations,Behavior,Decisiveness under pressure,"The ability to make quick, effective decisions in high-stress or emergency situations.",,
Aviation,Flight Operations,Behavior,Discipline,"The consistent adherence to standard operating procedures, checklists, and regulations to ensure safety.",,
Aviation,Flight Operations,Behavior,Composure,"The ability to remain calm, focused, and professional, especially during unexpected or challenging events.",,
Aviation,Flight Operations,Behavior,Risk Management,"The practice of systematically identifying potential hazards, assessing their risk, and implementing effective mitigations.",,
Aviation,Aircraft Maintenance,Skill,Systems diagnosis (hydraulics, pneumatics),The ability to troubleshoot and diagnose problems within an aircraft's complex hydraulic and pneumatic systems.,
Aviation,Aircraft Maintenance,Skill,Component repair/replacement,The technical skill required to repair or replace faulty components according to manufacturer specifications.,,
Aviation,Aircraft Maintenance,Skill,Inspection procedures (A/B/C/D checks),"Proficiency in conducting routine, detailed inspections of an aircraft's structure and systems as part of scheduled maintenance.",,
Aviation,Aircraft Maintenance,Skill,Reading technical manuals and blueprints,"The ability to read, interpret, and follow complex technical diagrams, manuals, and blueprints for maintenance and repair.",,
Aviation,Aircraft Maintenance,Skill,Avionics troubleshooting,"The skill of diagnosing and repairing issues with an aircraft's electronic systems, including communication, navigation, and flight controls.",,
Aviation,Aircraft Maintenance,Skill,Non-destructive testing (NDT),The ability to use techniques like ultrasonic or X-ray inspection to evaluate the properties of a material or component without causing damage.,,
Aviation,Aircraft Maintenance,Skill,Sheet metal repair,The skill of repairing or fabricating aluminum alloy structures that form the skin and frame of an aircraft.,,
Aviation,Aircraft Maintenance,Skill,Engine maintenance and overhaul,"The specialized knowledge required to perform maintenance, repair, and complete overhaul of aircraft engines.",,
Aviation,Aircraft Maintenance,Behavior,Meticulousness,Extreme care and precision in every aspect of maintenance work to ensure the highest standards of safety and quality.,,
Aviation,Aircraft Maintenance,Behavior,Problem-solving,A methodical approach to identifying the root cause of a mechanical or electrical fault and implementing an effective solution.,,
Aviation,Aircraft Maintenance,Behavior,Adherence to standards,"A strict commitment to following all approved procedures, regulations, and manufacturer specifications without deviation.",,
Aviation,Aircraft Maintenance,Behavior,Safety consciousness,A constant awareness of potential hazards and a proactive commitment to maintaining a safe working environment.,,
Aviation,Air Traffic Management,Skill,Airspace control,The skill of managing and monitoring aircraft movement within a specific sector of airspace to maintain safe separation.,,
Aviation,Air Traffic Management,Skill,Communication protocols (ICAO standard phraseology),"Proficiency in using the precise, standardized language required for clear and unambiguous communication between pilots and controllers.",,
Aviation,Air Traffic Management,Skill,Radar operation,"The ability to use radar systems to identify, track, and manage aircraft within the controlled airspace.",,
Aviation,Air Traffic Management,Skill,Sequencing and separation,The critical skill of arranging the flow of air traffic and maintaining the required minimum distance between aircraft.,,
Aviation,Air Traffic Management,Skill,Weather interpretation for aviation,The ability to read and interpret weather reports and radar data to provide pilots with crucial safety information.,,
Aviation,Air Traffic Management,Skill,Flight data processing,The skill of managing and updating flight plan information within the air traffic control system.,,
Aviation,Air Traffic Management,Behavior,High concentration,The ability to maintain intense focus for extended periods while managing multiple aircraft and complex situations.,,
Aviation,Air Traffic Management,Behavior,Spatial reasoning,The ability to visualize the positions and trajectories of multiple aircraft in three-dimensional space.,,
Aviation,Air Traffic Management,Behavior,Clear and concise communication,The practice of conveying critical instructions and information with maximum clarity and minimum words.,,
Aviation,Air Traffic Management,Behavior,Multitasking ability,"The capacity to handle numerous tasks simultaneously, such as communicating with pilots, monitoring radar, and coordinating with other controllers.",,
Aviation,Aviation Safety,Skill,Risk assessment,"The systematic process of identifying hazards, analyzing the associated risks, and evaluating their potential impact on safety.",,
Aviation,Aviation Safety,Skill,Incident investigation,The methodical process of investigating accidents and incidents to determine the root causes and prevent recurrence.,,
Aviation,Aviation Safety,Skill,Safety management systems (SMS) implementation,"The ability to develop and manage a formal, top-down, organization-wide approach to managing safety risk.",,
Aviation,Aviation Safety,Skill,Regulatory compliance (FAA, EASA),A deep understanding of and ability to ensure adherence to the safety regulations set forth by aviation authorities like the FAA and EASA.,
Aviation,Aviation Safety,Skill,Human factors analysis (HFACS),"The skill of using a framework to identify and analyze the human causes of accidents, such as unsafe acts, preconditions, and supervision.",,
Aviation,Aviation Safety,Skill,Safety auditing,The process of conducting formal reviews and audits of an organization's operations to ensure compliance with safety policies and regulations.,,
Aviation,Aviation Safety,Skill,Emergency response planning,The skill of developing and maintaining a comprehensive plan to effectively manage and respond to aviation emergencies.,,
Aviation,Aviation Safety,Behavior,Proactive safety culture,Fostering an environment where safety is a core value and individuals are encouraged to identify and report hazards without fear of reprisal.,,
Aviation,Aviation Safety,Behavior,Analytical thinking,"The ability to systematically analyze complex safety data, incident reports, and trends to identify underlying risks.",,
Aviation,Aviation Safety,Behavior,Integrity,An unwavering commitment to ethical principles and honesty in all matters related to aviation safety.,,
Aviation,Aviation Safety,Behavior,Thoroughness,"A meticulous and exhaustive approach to safety investigations, audits, and risk assessments to ensure no detail is overlooked.",,
Human Resources,Talent Acquisition,Skill,Sourcing candidates,"The proactive search for qualified candidates for current or planned open positions, using various channels like databases, social media, and networking.",,
Human Resources,Talent Acquisition,Skill,Interviewing techniques (STAR method),"The ability to conduct structured interviews, using methods like STAR (Situation, Task, Action, Result) to effectively assess a candidate's past performance.",,
Human Resources,Talent Acquisition,Skill,Candidate assessment,"The process of evaluating a candidate's skills, knowledge, and qualifications to determine their suitability for a specific role.",,
Human Resources,Talent Acquisition,Skill,Offer negotiation,"The skill of managing the final stage of the hiring process, including presenting the job offer and negotiating terms such as salary and benefits.",,
Human Resources,Talent Acquisition,Skill,Boolean search strings,"The ability to construct complex search queries using Boolean logic (AND, OR, NOT) to find qualified candidates in databases and online.",,
Human Resources,Talent Acquisition,Skill,Applicant Tracking System (ATS) management,"Proficiency in using software that serves as a centralized database for job applicants, streamlining the recruitment process.",,
Human Resources,Talent Acquisition,Skill,Employer Branding,The process of managing and influencing an organization's reputation as an employer of choice among potential candidates.,,
Human Resources,Talent Acquisition,Skill,Recruitment Marketing,"The use of marketing tactics to attract, engage, and nurture talented individuals to apply for jobs.",,
Human Resources,Talent Acquisition,Skill,University Relations & Recruiting,The practice of building relationships with universities and colleges to create a pipeline of entry-level talent.,,
Human Resources,Talent Acquisition,Behavior,Relationship building,"The ability to establish and maintain strong, positive relationships with candidates, hiring managers, and external partners.",,
Human Resources,Talent Acquisition,Behavior,Proactiveness,Taking the initiative to build candidate pipelines and anticipate future hiring needs before they become urgent.,,
Human Resources,Talent Acquisition,Behavior,Good judgment,The ability to make sound decisions when assessing candidate fit and managing the complexities of the hiring process.,,
Human Resources,Talent Acquisition,Behavior,Persuasion,The skill of effectively communicating the value proposition of a role and the company to attract and secure top candidates.,,
Human Resources,Employee Relations,Skill,Conflict resolution,"The ability to mediate and resolve disagreements between employees in a fair, impartial, and constructive manner.",,
Human Resources,Employee Relations,Skill,Workplace investigations,The formal process of gathering and analyzing evidence related to employee complaints or misconduct to determine the facts.,,
Human Resources,Employee Relations,Skill,Labor law knowledge,"A strong understanding of federal, state, and local employment laws and regulations to ensure compliance and mitigate risk.",,
Human Resources,Employee Relations,Skill,Mediation,The skill of facilitating a discussion between parties in a dispute to help them reach a mutually acceptable agreement.,,
Human Resources,Employee Relations,Skill,Performance improvement plans (PIPs),The ability to create and manage structured plans to help underperforming employees improve and succeed in their roles.,,
Human Resources,Employee Relations,Skill,Disciplinary action procedures,"Knowledge of the formal process for addressing employee misconduct, ensuring fairness, consistency, and legal compliance.",,
Human Resources,Employee Relations,Skill,Union negotiation and relations,The skill of negotiating collective bargaining agreements and managing the ongoing relationship with labor unions.,,
Human Resources,Employee Relations,Behavior,Empathy,"The ability to understand and share the feelings of employees, which is crucial for handling sensitive workplace issues.",,
Human Resources,Employee Relations,Behavior,Fairness and Objectivity,A commitment to treating all employees equitably and making impartial decisions based on facts and policies.,,
Human Resources,Employee Relations,Behavior,Discretion,The ability to handle sensitive and confidential employee information with the utmost professionalism and care.,,
Human Resources,Employee Relations,Behavior,Resilience,The capacity to manage stressful and emotionally charged situations with composure and professionalism.,,
Human Resources,Compensation & Benefits,Skill,Salary benchmarking,The process of researching and comparing an organization's salary structures with those of other companies to ensure competitiveness.,,
Human Resources,Compensation & Benefits,Skill,Benefits administration,"The management of employee benefits programs, such as health insurance, retirement plans, and paid time off.",,
Human Resources,Compensation & Benefits,Skill,Job evaluation methodologies (Hay, Mercer),The ability to use systematic methods to determine the relative value of jobs within an organization for compensation purposes.,
Human Resources,Compensation & Benefits,Skill,Payroll systems,"Proficiency in using software to manage employee salaries, wages, bonuses, and deductions, ensuring accurate and timely payment.",,
Human Resources,Compensation & Benefits,Skill,Equity and stock option administration,"The specialized knowledge required to manage employee equity programs, including grants, vesting schedules, and exercises.",,
Human Resources,Compensation & Benefits,Skill,Executive compensation design,The skill of designing competitive and compliant compensation packages for senior-level executives.,,
Human Resources,Compensation & Benefits,Skill,Incentive plan design,"The ability to create and manage variable pay programs, such as bonuses and commissions, that are designed to motivate and reward performance.",,
Human Resources,Compensation & Benefits,Behavior,Analytical thinking,"The ability to analyze complex compensation data, market trends, and internal equity to make informed decisions.",,
Human Resources,Compensation & Benefits,Behavior,Attention to detail,A meticulous approach to managing compensation and benefits data to ensure accuracy and compliance.,,
Human Resources,Compensation & Benefits,Behavior,Ethical conduct,"An unwavering commitment to fairness, transparency, and ethical principles in all compensation and benefits decisions.",,
Human Resources,Compensation & Benefits,Behavior,Confidentiality,Strict adherence to privacy and confidentiality when handling sensitive employee salary and benefits information.,,
Human Resources,HR Information Systems (HRIS),Skill,Data management and integrity,"The practice of ensuring the accuracy, consistency, and security of employee data within the HRIS.",,
Human Resources,HR Information Systems (HRIS),Skill,Reporting and analytics,The ability to extract data from the HRIS and create reports and dashboards to provide insights into workforce trends.,,
Human resources,HR Information Systems (HRIS),Skill,System implementation and upgrades,"The skill of managing the process of launching a new HRIS or upgrading an existing one, from planning to execution.",,
Human Resources,HR Information Systems (HRIS),Skill,User training and support,The ability to train employees and managers on how to use the HRIS effectively and provide ongoing technical support.,,
Human Resources,HR Information Systems (HRIS),Skill,Workflow automation,"The skill of configuring the HRIS to automate manual HR processes, such as onboarding, approvals, and notifications.",,
Human Resources,HR Information Systems (HRIS),Skill,Data privacy and security compliance,Ensuring the HRIS complies with data protection regulations like GDPR and that employee data is secure.,,
Human Resources,HR Information Systems (HRIS),Behavior,Technical aptitude,A strong ability to understand and work with complex software systems and databases.,,
Human Resources,HR Information Systems (HRIS),Behavior,Process improvement focus,A continuous drive to identify inefficiencies and leverage the HRIS to improve HR processes.,,
Human Resources,HR Information Systems (HRIS),Behavior,Systematic thinking,An ability to understand how different HR processes and data points connect within the larger system.,,
Human Resources,Training & Development,Skill,Needs analysis,The process of identifying performance gaps and determining the training and development needs of individuals and the organization.,,
Human Resources,Training & Development,Skill,Instructional design (ADDIE model),"The ability to create effective learning experiences using systematic models like ADDIE (Analysis, Design, Development, Implementation, Evaluation).",,
Human Resources,Training & Development,Skill,Facilitation skills,"The ability to lead training sessions and workshops in an engaging and effective manner, guiding participants toward learning objectives.",,
Human Resources,Training & Development,Skill,E-learning development (Articulate, Captivate),The skill of using authoring tools to create interactive and engaging online learning courses.,
Human Resources,Training & Development,Skill,Learning Management System (LMS) administration,"Proficiency in managing an LMS to host, deliver, and track online training and development programs.",,
Human Resources,Training & Development,Skill,Leadership development programs,The ability to design and implement programs aimed at developing the skills and competencies of current and future leaders.,,
Human Resources,Training & Development,Skill,Career pathing,The process of helping employees plan their career progression within the organization by identifying potential roles and development opportunities.,,
Human Resources,Training & Development,Skill,Measuring training effectiveness (Kirkpatrick model),"The ability to evaluate the impact of training programs using models that measure reaction, learning, behavior, and results.",,
Human Resources,Training & Development,Behavior,Coaching mindset,An approach focused on guiding and empowering employees to develop their skills and solve their own problems.,,
Human Resources,Training & Development,Behavior,Encouraging growth,A commitment to fostering a culture of continuous learning and providing employees with opportunities for professional development.,,
Human Resources,Training & Development,Behavior,Adaptability,The ability to adjust training content and delivery methods to meet the diverse needs and learning styles of the audience.,,
Human Resources,Training & Development,Behavior,Engaging presentation style,The ability to deliver training material in a dynamic and interactive way that captures and holds the audience's attention.,,
Sales,Prospecting & Lead Generation,Skill,Cold calling,The skill of contacting potential customers by phone who have not previously expressed interest in the product or service.,,
Sales,Prospecting & Lead Generation,Skill,Email outreach automation,The ability to use software to send personalized emails to a large number of prospects in a systematic way.,,
Sales,Prospecting & Lead Generation,Skill,Social selling (LinkedIn Sales Navigator),"The practice of using social media platforms, particularly LinkedIn, to find, connect with, and nurture sales prospects.",,
Sales,Prospecting & Lead Generation,Skill,Lead qualification (BANT, MEDDIC),"The process of using frameworks like BANT or MEDDIC to determine if a prospect has the budget, authority, need, and timeline to buy.",
Sales,Prospecting & Lead Generation,Skill,Lead nurturing,"The process of building relationships with qualified prospects who are not yet ready to buy, with the goal of earning their business when they are.",,
Sales,Prospecting & Lead Generation,Skill,Referral generation,The skill of systematically asking existing customers and contacts to recommend new potential customers.,,
Sales,Prospecting & Lead Generation,Skill,Networking at industry events,"The ability to build relationships and identify potential sales opportunities by attending trade shows, conferences, and other events.",,
Sales,Prospecting & Lead Generation,Behavior,Resilience,"The ability to handle rejection and setbacks without becoming discouraged, and to maintain a positive and persistent attitude.",,
Sales,Prospecting & Lead Generation,Behavior,Persistence,"The quality of continuing to pursue a prospect or opportunity in a consistent and determined manner, despite challenges.",,
Sales,Prospecting & Lead Generation,Behavior,Initiative,The tendency to proactively seek out new leads and opportunities rather than waiting for them to come to you.,,
Sales,Prospecting & Lead Generation,Behavior,Discipline,"The commitment to consistently performing the daily activities required for successful prospecting, such as making a certain number of calls or sending emails.",,
Sales,Sales Process & Execution,Skill,Product demonstration,"The ability to effectively showcase a product's features and benefits to a prospect, tailoring the demonstration to their specific needs.",,
Sales,Sales Process & Execution,Skill,Value proposition articulation,The skill of clearly and concisely explaining how a product or service solves a customer's problems or improves their situation.,,
Sales,Sales Process & Execution,Skill,Objection handling,"The ability to effectively address and overcome a prospect's concerns, questions, or reasons for not buying.",,
Sales,Sales Process & Execution,Skill,Pipeline management,The process of tracking and managing sales opportunities as they move through the different stages of the sales cycle.,,
Sales,Sales Process & Execution,Skill,Sales forecasting,The process of estimating future sales revenue based on the current pipeline and historical data.,,
Sales,Sales Process & Execution,Skill,Discovery calls,"The skill of conducting initial calls with prospects to understand their needs, challenges, and goals in detail.",,
Sales,Sales Process & Execution,Skill,Solution selling methodology,"An approach to sales where the salesperson acts as a consultant, focusing on understanding the customer's problems and offering solutions.",,
Sales,Sales Process & Execution,Skill,Challenger sale methodology,A sales approach that involves teaching the prospect something new about their business and challenging their assumptions.,,
Sales,Sales Process & Execution,Behavior,Confidence,"A strong belief in one's own abilities and the value of the product being sold, which projects trustworthiness to the customer.",,
Sales,Sales Process & Execution,Behavior,Active listening,The practice of fully concentrating on what the customer is saying to deeply understand their needs and concerns.,,
Sales,Sales Process & Execution,Behavior,Goal-orientation,A strong focus on achieving specific sales targets and a drive to consistently meet or exceed them.,,
Sales,Sales Process & Execution,Behavior,Consultative mindset,"An approach focused on advising and guiding the customer toward the best solution, rather than just pushing a product.",,
Sales,Negotiation & Closing,Skill,Contract negotiation,The process of discussing and agreeing on the legal and financial terms of a sales agreement.,,
Sales,Negotiation & Closing,Skill,Persuasion techniques,The ability to use effective communication and psychological principles to influence a prospect's decision to buy.,,
Sales,Negotiation & Closing,Skill,Closing strategies,Knowledge of various techniques used to ask for the business and finalize a sale at the appropriate time.,,
Sales,Negotiation & Closing,Skill,Discounting strategy,The ability to use discounts effectively to close a deal without significantly eroding profit margins.,,
Sales,Negotiation & Closing,Skill,Competitive positioning,The skill of highlighting the unique advantages of your product over competitors' offerings during the final stages of a deal.,,
Sales,Negotiation & Closing,Skill,Procurement process navigation,The ability to understand and work effectively with a customer's formal purchasing department and processes.,,
Sales,Negotiation & Closing,Skill,Multi-party negotiation,"The skill of managing negotiations that involve multiple stakeholders on the customer's side, each with different interests.",,
Sales,Negotiation & Closing,Behavior,Assertiveness,"The ability to state your position and needs clearly and confidently during a negotiation, without being aggressive.",,
Sales,Negotiation & Closing,Behavior,Win-win mindset,An approach to negotiation that seeks a mutually beneficial agreement that satisfies the needs of both the buyer and the seller.,,
Sales,Negotiation & Closing,Behavior,Creating urgency,The ability to ethically and effectively communicate the reasons why a prospect should make a buying decision sooner rather than later.,,
Sales,Negotiation & Closing,Behavior,Financial acumen,An understanding of financial principles and how a deal's terms will impact the customer's and your own company's finances.,,
Sales,Sales Operations,Skill,CRM Administration (Salesforce, Hubspot),Proficiency in managing and configuring a Customer Relationship Management (CRM) system to support the sales team.,
Sales,Sales Operations,Skill,Sales process optimization,The skill of analyzing and improving the sales process to increase efficiency and effectiveness.,,
Sales,Sales Operations,Skill,Territory planning and management,The process of designing and allocating sales territories to ensure fair distribution of opportunities and maximum market coverage.,,
Sales,Sales Operations,Skill,Commission calculation and modeling,The ability to design and manage sales commission plans and accurately calculate payouts.,,
Sales,Sales Operations,Skill,Sales data analysis and reporting,"The skill of analyzing sales data to identify trends, measure performance, and create insightful reports for leadership.",,
Sales,Sales Operations,Skill,Sales enablement tool management,"The ability to manage the software and tools (e.g., sales intelligence, contract management) that the sales team uses.",,
Sales,Sales Operations,Skill,Lead routing and assignment,The process of creating and managing the rules that automatically assign new leads to the appropriate sales representatives.,,
Sales,Sales Operations,Behavior,Analytical,"A strong ability to work with data, identify patterns, and draw logical conclusions to support sales strategy.",,
Sales,Sales Operations,Behavior,Process-oriented,"A focus on creating, documenting, and maintaining clear and efficient processes for the sales organization.",,
Sales,Sales Operations,Behavior,Detail-oriented,"A meticulous approach to managing data, reports, and systems to ensure accuracy and reliability.",,
Sales,Customer Relationship Management,Skill,Account management,The ongoing process of nurturing and growing the relationship with existing customers to ensure retention and satisfaction.,,
Sales,Customer Relationship Management,Skill,Upselling and cross-selling,"The skill of identifying opportunities to sell existing customers additional products, services, or premium versions.",,
Sales,Customer Relationship Management,Skill,CRM software proficiency,"Advanced proficiency in using a CRM system to track customer interactions, manage relationships, and identify opportunities.",,
Sales,Customer Relationship Management,Skill,Quarterly business reviews (QBR),"The practice of conducting formal meetings with key customers to review progress, demonstrate value, and plan for the future.",,
Sales,Customer Relationship Management,Skill,Client onboarding,"The process of successfully transitioning a new customer from the sales process to using the product, ensuring a positive initial experience.",,
Sales,Customer Relationship Management,Skill,Customer success planning,The proactive process of developing a plan to help customers achieve their desired outcomes using your product or service.,,
Sales,Customer Relationship Management,Skill,Churn analysis and prevention,The ability to analyze why customers stop using a product and implement strategies to reduce customer attrition.,,
Sales,Customer Relationship Management,Behavior,Trust building,The ability to build a strong foundation of trust and credibility with customers through reliable and honest interactions.,,
Sales,Customer Relationship Management,Behavior,Responsiveness,The practice of responding to customer inquiries and issues in a timely and helpful manner.,,
Sales,Customer Relationship anagement,Behavior,Long-term focus,An approach that prioritizes the long-term health and success of the customer relationship over short-term sales goals.,,
Marketing,Brand Management,Skill,Brand positioning,The skill of creating a distinct and desirable identity for a brand in the minds of target consumers.,,
Marketing,Brand Management,Skill,Messaging development,"The process of crafting clear, consistent, and compelling messages that communicate a brand's value proposition.",,
Marketing,Brand Management,Skill,Public relations,The practice of managing the spread of information between an organization and the public to shape a positive public image.,,
Marketing,Brand Management,Skill,Brand guideline enforcement,The process of ensuring that all marketing and communication materials consistently adhere to the established brand standards.,,
Marketing,Brand Management,Skill,Brand voice development,The skill of defining the unique personality and tone that a brand uses in its communications.,,
Marketing,Brand Management,Skill,Brand architecture,"The logical, strategic, and relational structure for all brands within an organization's portfolio.",,
Marketing,Brand Management,Skill,Crisis communication management,The ability to develop and execute a communication strategy to protect a brand's reputation during a crisis.,,
Marketing,Brand Management,Behavior,Brand advocacy,"A deep passion for and belief in the brand, leading to its promotion both internally and externally.",,
Marketing,Brand Management,Behavior,Consistency,A commitment to maintaining a uniform brand identity and message across all channels and touchpoints.,,
Marketing,Brand Management,Behavior,Creativity,The ability to develop innovative and original ideas to build and promote the brand.,,
Marketing,Digital Marketing,Skill,SEO/SEM,Proficiency in Search Engine Optimization (SEO) to improve organic visibility and Search Engine Marketing (SEM) to manage paid search campaigns.,,
Marketing,Digital Marketing,Skill,Social media marketing,"The use of social media platforms to build brand awareness, engage with audiences, and drive website traffic.",,
Marketing,Digital Marketing,Skill,Email marketing campaigns,The skill of creating and executing targeted email campaigns to nurture leads and communicate with customers.,,
Marketing,Digital Marketing,Skill,Marketing analytics,"The ability to use tools like Google Analytics to measure, manage, and analyze marketing performance to maximize its effectiveness.",,
Marketing,Digital Marketing,Skill,Conversion Rate Optimization (CRO),The systematic process of increasing the percentage of website visitors who take a desired action.,,
Marketing,Digital Marketing,Skill,Pay-Per-Click (PPC) advertising,The skill of managing online advertising campaigns where the advertiser pays a fee each time one of their ads is clicked.,,
Marketing,Digital Marketing,Skill,Affiliate Marketing,The process of earning a commission by promoting other people's or company's products.,,
Marketing,Digital Marketing,Skill,Marketing Automation (Marketo, Pardot),Proficiency in using software platforms designed to automate repetitive marketing tasks and nurture leads.,
Marketing,Digital Marketing,Skill,Mobile Marketing,"The practice of marketing on or with a mobile device, such as a smartphone, through websites, email, SMS, social media, and apps.",,
Marketing,Digital marketing,Behavior,Data-driven,A reliance on data and analytics to make informed decisions and optimize marketing strategies.,,
Marketing,Digital marketing,Behavior,Adaptability to trends,"The ability to quickly learn and adapt to new digital marketing technologies, platforms, and trends.",,
Marketing,Digital marketing,Behavior,Experimentation mindset,"A willingness to test new ideas, channels, and strategies to discover what works best.",,
Marketing,Content Strategy,Skill,Content creation (writing/video/podcast),"The ability to produce high-quality, engaging content in various formats, such as blog posts, videos, and podcasts.",,
Marketing,Content Strategy,Skill,Editorial calendar management,"The process of planning, scheduling, and organizing content creation and publication to ensure a consistent flow of new material.",,
Marketing,Content Strategy,Skill,Content distribution,The practice of promoting content across various channels to reach a wider audience.,,
Marketing,Content Strategy,Skill,Storytelling,The skill of crafting compelling narratives around a brand or product to create an emotional connection with the audience.,,
Marketing,Content Strategy,Skill,Content optimization for SEO,The practice of creating and editing content to improve its visibility in search engine results.,,
Marketing,Content Strategy,Skill,Content performance analysis,The ability to analyze metrics to understand how content is performing and identify areas for improvement.,,
Marketing,Content Strategy,Skill,Digital Asset Management (DAM),"Proficiency in using systems to store, organize, and retrieve digital content like images, videos, and documents.",,
Marketing,Content Strategy,Behavior,Creativity,The ability to generate original and imaginative ideas for content that will resonate with the target audience.,,
Marketing,Content Strategy,Behavior,Audience empathy,"The ability to understand the needs, interests, and pain points of the target audience to create relevant and valuable content.",,
Marketing,Content Strategy,Behavior,Strategic thinking,The ability to develop a long-term content plan that aligns with and supports broader business goals.,,
Marketing,Product Marketing,Skill,Competitive Intelligence,"The process of gathering, analyzing, and distributing information about competitors to support strategic decision-making.",,
